d,t,l
2022-01-19,16,112
2022-01-19,17,141
2022-01-19,18,167
2022-01-19,19,181
2022-01-19,20,178
2022-01-19,21,156
2022-01-19,22,120
2022-01-19,23,78
2022-01-20,0,37
2022-01-20,1,8
2022-01-20,2,-4
2022-01-20,3,5
2022-01-20,4,31
2022-01-20,5,70
2022-01-20,6,111
2022-01-20,7,146
2022-01-20,8,166
2022-01-20,9,168
2022-01-20,10,153
2022-01-20,11,128
2022-01-20,12,100
2022-01-20,13,77
2022-01-20,14,67
2022-01-20,15,73
2022-01-20,16,93
2022-01-20,17,122
2022-01-20,18,152
2022-01-20,19,174
2022-01-20,20,182
2022-01-20,21,171
2022-01-20,22,143
2022-01-20,23,103
2022-01-21,0,60
2022-01-21,1,24
2022-01-21,2,2
2022-01-21,3,0
2022-01-21,4,17
2022-01-21,5,50
2022-01-21,6,91
2022-01-21,7,131
2022-01-21,8,159
2022-01-21,9,170
2022-01-21,10,163
2022-01-21,11,142
2022-01-21,12,113
2022-01-21,13,86
2022-01-21,14,68
2022-01-21,15,64
2022-01-21,16,76
2022-01-21,17,100
2022-01-21,18,130
2022-01-21,19,158
2022-01-21,20,175
2022-01-21,21,176
2022-01-21,22,159
2022-01-21,23,126
2022-01-22,0,86
2022-01-22,1,47
2022-01-22,2,17
2022-01-22,3,5
2022-01-22,4,11
2022-01-22,5,36
2022-01-22,6,72
2022-01-22,7,112
2022-01-22,8,146
2022-01-22,9,166
2022-01-22,10,169
2022-01-22,11,155
2022-01-22,12,129
2022-01-22,13,100
2022-01-22,14,76
2022-01-22,15,62
2022-01-22,16,64
2022-01-22,17,79
2022-01-22,18,105
2022-01-22,19,134
2022-01-22,20,158
2022-01-22,21,169
2022-01-22,22,165
2022-01-22,23,144
2022-01-23,0,111
2022-01-23,1,74
2022-01-23,2,41
2022-01-23,3,20
2022-01-23,4,16
2022-01-23,5,29
2022-01-23,6,58
2022-01-23,7,94
2022-01-23,8,130
2022-01-23,9,156
2022-01-23,10,168
2022-01-23,11,163
2022-01-23,12,144
2022-01-23,13,116
2022-01-23,14,89
2022-01-23,15,68
2022-01-23,16,59
2022-01-23,17,64
2022-01-23,18,82
2022-01-23,19,107
2022-01-23,20,133
2022-01-23,21,152
2022-01-23,22,159
2022-01-23,23,151
2022-01-24,0,130
2022-01-24,1,100
2022-01-24,2,69
